"row_id" "submission_id" "scenathon_id" "iteration" "country_id" "Year" "GDP" "Population" "kcal_hist" "kcal_targ" "kcal_feas" "fat_feas" "prot_feas" "kcal_mder" "FAOBiodivLnd" "CalcBiodivLnd" "BiodivTarget" "ProtectedAreasForest" "ProtectedAreasOtherNat" "ProtectedAreasOther" "CropBiodiv" "HistCropland" "HistHarvArea" "HistPasture" "HistUrban" "HistForest" "HistOtherLand" "CalcCropland" "CalcPasture" "CalcForest" "CalcNewForest" "CalcOtherLand" "CalcUrban" "TotalLand" "ForestChange" "NewForestChange" "NetForestChange" "HistCropAllCO2e" "HistCropCO2" "HistCropN2O" "HistCropCH4" "CalcCropAllCO2e" "CalcCropN2O" "CalcCropCH4" "CalcCropCO2" "HistLiveAllCO2e" "HistLiveN2O" "HistLiveCH4" "CalcLiveAllCO2e" "CalcLiveCH4" "CalcLiveN2O" "CalcAllAgriCO2e" "CalcDeforCO2" "CalcOtherLUCCO2" "CalcSequestCO2" "CalcPeatCO2" "CalcAllLandCO2e" "GHGbiofuels" "HistWFgreen" "HistWFblue" "HistWFgrey" "CalcWFgreen" "CalcWFblue" "CalcWFgrey" "ALPHA3" "Country" "Pathway"
2322 1777 5 2 3 2000 1540 175.287587 2697.45650840425 2697.45650840425 2692.79585917796 94.6956975697595 74.6466866910222 2050.76743579814 0 0 0.5 230840.003484868 3877.2464310774 15383.2034664146 NA 51819.125 49947.660038 169203.68713055 2143.7726567309 608303.816832746 19276.7706783339 51819.125 169424.105907427 608303.816832746 0 19885.0453383041 2143.7726567309 851575.865735208 0 0 0 29.09732 16.131082 7.6377 5.328538 37.497147678816 17.9572994045632 3.65630303114983 15.883545243103 325.37539 107.43152 217.94387 227.035423675012 155.740644627437 71.294779047575 257.056432311118 0 0 0 NA 0 -7.47613904271025 435965.609809315 12091.8872225454 15917.327549543 461849.608251052 6054.48601540272 17218.6969409869 "BRA" "Brazil" "CT"
2323 1777 5 2 3 2005 1770 186.917361 2859.71619347873 2859.71619347873 2840.55091228195 95.3748476737639 77.1851370969053 2068.6211363877 0 0 0.5 230840.003484868 3877.2464310774 15383.2034664146 NA 64319.313 62218.257097 172071.94517163 2331.2051543423 592547.967701341 19479.6205312033 65149.8538681351 172251.874208768 591960.87371272 0 19882.058791242 2331.2051543423 851575.865735208 -16342.9431200259 0 -16342.9431200259 32.8818 17.191207 9.93447 5.756123 44.6446846232155 23.3440564387129 3.9664690902542 17.3341590942484 393.24133 129.32423 263.9171 273.239961454382 187.721322000807 85.5186394535744 306.787212458659 1235.14199000476 0.0721597596787147 0 NA 1235.21414976444 -11.0974336189381 435965.609809315 12091.8872225454 15917.327549543 600113.43890794 7340.98013851458 22159.653857883 "BRA" "Brazil" "CT"
2324 1777 5 2 3 2010 2210 196.796269 2993.52222112684 2993.52222112684 2983.49119593014 105.049864265093 85.5981734932849 2084.10230161323 0.47141569252197 0.45976082846294 0.5 230840.003484868 3877.2464310774 15383.2034664146 NA 65374.591 64321.929049 179167.63927778 2604.7679877919 584641.928269472 18947.3006295349 65818.152197993 179451.477494602 583890.626937056 0 19880.5840157611 2535.0250897963 851575.865735208 -8070.24677566439 0 -8070.24677566439 37.06453 20.828538 12.0531 4.182892 53.7430596355428 29.9348208005885 2.92461357576999 20.8836252591844 404.9855 137.213 267.7725 281.083370592931 191.762040767564 89.3213298253667 311.267513769514 452.717729180997 0.00587192375494559 0 NA 452.723601104752 -23.5589164589595 0 0 0 750403.170500586 8700.2653952076 29408.2238242556 "BRA" "Brazil" "CT"
2325 1777 5 2 3 2015 2330 205.962108 0 3082.20067203983 3071.79731112009 118.613888488527 85.4735407119989 2091.60120274937 0 0.456031378859654 0.5 230840.003484868 3877.2464310774 15383.2034664146 NA 76948.099 0 172579.4170055 3004.6827136816 578759.457494242 19400.5476511485 75350.7660786396 175766.588624761 577822.370707621 0 19879.4750886431 2756.66523554415 851575.865735208 -6068.25622943533 0 -6068.25622943533 0 0 0 0 62.3609768086272 35.1740575547899 3.15237866842922 24.0345405854081 0 0 0 295.764923860696 201.166376194062 94.5985476666339 327.975757794628 804.926696556938 0.0531463168644925 -19.2719687892692 NA 785.707874084533 -30.1501428746956 0 0 0 855112.487844926 9251.86821208448 34014.7536029759 "BRA" "Brazil" "CT"
2326 1777 5 2 3 2020 2750.53538345898 213.78498684104 0 3096.63222342721 3085.02621357632 104.095883965294 89.3569803049952 2096.97936551339 0 0.4541413339188 0.5 230840.003484868 3877.2464310774 15383.2034664146 NA 0 0 0 0 0 0 85993.9057025578 167958.319575938 574747.043727431 0 19878.9130963086 2997.68363297276 851575.865735208 -3075.32698018954 0 -3075.32698018954 0 0 0 0 71.6624721148421 40.6379865558461 3.47195587007156 27.5525296889244 0 0 0 309.706684462117 211.383059755695 98.3236247064218 344.60142019388 938.017664500649 0.0619253773209817 -60.1092159146116 NA 877.970373963358 -36.7677363830792 0 0 0 956498.548943936 10816.8243902908 37298.1224332429 "BRA" "Brazil" "CT"
2327 1777 5 2 3 2025 3149.90617255173 220.68663294486 0 3148.18722457739 3135.21476996993 103.571952065085 91.1509539245702 2098.42100554806 0 0.449007918433063 0.5 230840.003484868 3877.2464310774 15383.2034664146 NA 0 0 0 0 0 0 91378.1452648353 170666.190498132 566394.368718188 0 19877.3867092419 3259.77454481119 851575.865735208 -8352.67500924272 0 -8352.67500924272 0 0 0 0 76.4768696035753 43.6016719815971 3.54295848827246 29.3322391337057 0 0 0 329.314168153797 225.001624598792 104.312543555005 359.816172099707 608.005631754598 0.0310848832204922 -60.1092159146116 NA 547.927500723207 -45.9748656576651 0 0 0 1044825.60068577 11952.5003818553 41325.1179487983 "BRA" "Brazil" "CT"
2328 1777 5 2 3 2030 3541.90488553875 226.270427236764 0 3199.74222572758 3184.99263039731 103.024806576183 92.9103159449257 2098.6753879635 0 0.446949204417663 0.5 230840.003484868 3877.2464310774 15383.2034664146 NA 0 0 0 0 0 0 92782.801776705 172326.911852964 563044.597176145 0 19876.7745642761 3544.78036511853 851575.865735208 -3349.77154204366 0 -3349.77154204366 15.97304 0 12.2308 3.74224 78.320223062728 45.0068023686576 3.51688564040555 29.7965350536649 487.44871 181.83888 305.60983 347.865619862537 238.000980030887 109.86463983165 380.2109772676 239.541840651696 0.0100108946798329 -60.1092159146116 NA 179.442635631764 -45.9748656576651 0 0 0 1106211.9834961 12305.7246077745 43667.3619869319 "BRA" "Brazil" "CT"
2329 1777 5 2 3 2035 3943.18448570847 230.56190378589 0 3251.29722687776 3234.40260480138 102.454188617948 94.6325358459349 2098.07622443616 0 0.444225732015232 0.5 230840.003484868 3877.2464310774 15383.2034664146 NA 0 0 0 0 0 0 95504.9195141255 173727.091889862 558613.185002835 0 19875.9647578104 3854.70457057564 851575.865735208 -4431.41217331006 0 -4431.41217331006 0 0 0 0 81.6082587224682 47.471777239352 3.44017616643493 30.6963053166813 0 0 0 366.387721188003 251.15250304052 115.235218147483 402.021114252806 336.245013919387 0.0174036974060331 -60.1092159146116 NA 276.153201702181 -45.9748656576651 0 0 0 1184051.17510332 12835.9093683796 47062.0135459758 "BRA" "Brazil" "CT"
2330 1777 5 2 3 2040 4370.9792195234 233.592473550303 0 3302.85222802794 3284.28379025748 101.912068408462 96.4058256927301 2096.44139965187 0 0.451967822508024 0.5 230840.003484868 3877.2464310774 15383.2034664146 NA 0 0 0 0 0 0 95041.80347656 167247.493914539 558613.185002835 0 26481.6575371514 4191.72580412325 851575.865735208 0 0 0 0 0 0 0 82.2420947792618 48.4187925629863 3.28007552407805 30.5432266921975 0 0 0 370.254051836567 253.92339760542 116.330654231147 406.521280958163 28.1967840780064 0.00202267418982714 -96.4196102020191 NA -68.2208034498228 -45.9748656576651 0 0 0 1245461.05755799 13331.9065824277 49566.3923092503 "BRA" "Brazil" "CT"
2331 1777 5 2 3 2045 4923.66318340183 235.398988676611 0 3354.40722917812 3334.05336373187 101.362610196929 98.169320518479 2093.68911240368 0 0.463816595492767 0.5 230840.003484868 3877.2464310774 15383.2034664146 NA 0 0 0 0 0 0 93210.1905494026 158603.030292293 558613.185002835 0 36591.2467007298 4558.2131899485 851575.865735208 0 0 0 0 0 0 0 81.9196486591901 48.9117500917268 3.07009419868612 29.9378043687772 0 0 0 368.779696947708 253.013286904821 115.766410042887 404.724479949233 30.6620611901837 0.00219951890984122 -151.2094905554 NA -120.545229846306 -45.9748656576651 0 0 0 1304530.64586516 13768.5359660359 52025.2200020419 "BRA" "Brazil" "CT"
